CCV_AUC,SCV2_AUC
0.96154,0.75012
0.96434,0.71534
0.97676,0.6753
0.97018,0.8131
0.95644,0.66412
0.9655,0.77248
0.96808,0.66496
0.9712,0.74106
0.95816,0.65736
0.95516,0.70824
0.94252,0.72936
0.9638,0.78124
0.96054,0.77196
0.96818,0.68334
0.96424,0.71338
0.9515,0.81116
0.94332,0.73124
0.95418,0.70324
0.97834,0.77228
0.95246,0.75888
0.94708,0.76384
0.9641,0.69186
0.96212,0.75262
0.968,0.75702
0.9652,0.62042
0.9576,0.7824
0.96466,0.76032
0.95198,0.7825
0.95944,0.77976
0.97462,0.74192
