CCV_AUC,SCV2_AUC
0.95704,0.86546
0.95418,0.86176
0.9654,0.88138
0.96584,0.86482
0.9577,0.84954
0.96622,0.86334
0.9674,0.88966
0.96042,0.8771
0.9732,0.90372
0.96662,0.85868
0.9567,0.85856
0.9631,0.89264
0.95858,0.87106
0.9644,0.85974
0.9618,0.87376
0.94262,0.85008
0.97056,0.90882
0.96886,0.90752
0.95134,0.89158
0.97066,0.85868
0.97098,0.86672
0.96872,0.87698
0.97174,0.87598
0.9774,0.83688
0.96896,0.87316
0.95204,0.80406
0.9628,0.8716
0.96138,0.88968
0.96324,0.87732
0.97082,0.91704
