CCV_AUC,SCV2_AUC
0.93152,0.81174
0.93462,0.82616
0.93428,0.79174
0.93596,0.8066
0.9376,0.79162
0.93294,0.7915
0.9352,0.78696
0.9378,0.789
0.93742,0.78526
0.93016,0.80762
0.93184,0.8152
0.93516,0.78506
0.93638,0.79804
0.93002,0.78374
0.931,0.76748
0.92698,0.80408
0.93202,0.83038
0.93336,0.82162
0.92166,0.79654
0.93064,0.76428
0.93128,0.83932
0.9265,0.79618
0.9303,0.80168
0.93026,0.80998
0.93282,0.81392
0.93638,0.81736
0.9244,0.82624
0.93768,0.80836
0.93394,0.81638
0.93506,0.83202
