CCV_AUC,SCV2_AUC
0.9724,0.97156
1,1
0.99832,0.96666
0.9577,0.95476
0.9661,0.97614
0.98758,0.9468
0.96998,0.94676
1,1
0.99888,0.98232
0.97118,0.97142
0.96972,0.97098
1,0.975
1,1
1,1
0.9662,0.93496
0.99944,0.96666
0.96724,0.91364
0.99098,0.91894
0.99854,0.98866
0.96666,0.96
0.99322,0.96666
1,0.99878
0.99444,0.97672
0.99944,1
0.99678,0.9948
0.99888,0.9909
0.99444,0.965
0.97006,0.97424
0.94148,0.9156
0.99266,0.97368
