CCV_AUC,SCV2_AUC
0.97042,0.78878
0.98526,0.85844
0.97224,0.91874
0.9704,0.77988
0.98032,0.86954
0.94734,0.84668
0.96428,0.83202
0.97822,0.83856
0.94898,0.8419
0.9835,0.75948
0.96496,0.84484
0.98416,0.82784
0.98778,0.88678
0.97538,0.83398
0.9919,0.86482
0.97454,0.87408
0.97848,0.79852
0.96972,0.8371
0.97674,0.86534
0.97484,0.88766
0.9804,0.79498
0.96018,0.7551
0.97808,0.83988
0.97388,0.84876
0.99054,0.886
0.98986,0.8829
0.9699,0.84888
0.9762,0.89484
0.95782,0.86514
0.9486,0.81972
