year,longitude,latitude
1967,23.49667,42.48722
1967,23.54933,42.4491
1967,23.55,42.46667
1965,21.0333,41.2333
1967,22.25,40.65
1965,22.35,40.0833
1967,22.25,40.65
1965,22,40.5
1967,22.35,40.0833
1964,21.2833,39.7833
1967,22.35,40.0833
1967,22.25,40.65
1967,22.35,40.0833
1967,22.35,40.0833
1965,20.74927,41.89907
1967,23.54933052,42.4491002
1967,23.55,42.46666667
1967,23.49666667,42.48722222
1965,21.0333,41.2333
1967,22.25,40.65
1967,22.35,40.0833
1964,21.2833,39.7833
1965,22.35,40.0833
1965,22,40.5
1965,20.74926709,41.89907006
2005,21.30445,40.77083
2005,21.38972,40.62528
2005,21.30444444,40.77083333
2005,21.38972222,40.62527778
