year,longitude,latitude
1912,16.51228,51.48639
1919,14.77353,53.56366
1903,15.63822,50.77501
1903,16.06981,51.04164
1914,16.46532,54.45378
1919,16.46532,54.45378
1915,15.83928,54.01036
1919,15.83928,54.01036
1908,16.42505,53.2857
1912,16.42505,53.2857
1919,17.07285,54.2651
1918,17.08191,54.44473
1909,17.83966,54.24947
1912,17.83966,54.24947
1909,17.84585,54.33923
1912,17.84585,54.33923
1903,17.60255,50.38791
1911,17.60255,50.38791
1911,16.50931,51.3965
1903,16.78966,51.2127
1903,16.78966,51.2127
1903,16.93274,51.21042
1903,17.07178,51.11811
1903,17.07178,51.11811
1911,17.61853,53.17554
1913,17.76221,53.08237
1915,17.32442,53.27156
1913,17.62402,53.26534
1909,17.64066,53.53471
1911,18,53.15
1903,18.28255,49.9355
1910,18.27238,50.11518
1912,18.27238,50.11518
1911,18.68293,50.304
1912,18.68293,50.304
1912,18.37047,53.35513
1912,19.24927,53.91064
1934,18.27802,54.79161
1912,18.61515,54.34923
1905,19.95234,50.05256
1905,20.09873,49.69401
1932,19.90455,52.12044
1932,19.90455,52.12044
1912,22.29976,54.09615
1938,22.29976,54.09615
1915,22.45,53.65
1915,22.45,53.65
1903,15.92008,50.6832
1903,16.34207,50.58917
1930,13.01056,55.76392
1918,23.44909,56.78288
1917,26.2666,55.9333
1916,24.93249,56.43288
1924,24.1,56.95
1917,22.8833,56.4666
1917,24.35,56.7
1916,24.83248,56.43287
1917,26.2666,55.9333
1949,24.06667,61.2
1920,5.767865,50.83197
1935,5.963584,50.89462
1920,4.810894,51.75194
1920,4.825426,52.1114
1949,5.963584,50.89462
1930,4.810894,51.75194
1940,5.249651,51.83428
1920,5.263194,52.10381
1910,5.267756,52.19364
1920,5.267756,52.19364
1920,5.272341,52.28348
1908,5.375785,51.47207
1920,5.375785,51.47207
1940,5.121561,52.19636
1943,5.121561,52.19636
1908,5.125852,52.28621
1920,5.125852,52.28621
1924,5.125852,52.28621
1926,5.125852,52.28621
1920,5.236318,51.56475
1943,5.236318,51.56475
1948,5.85,51.98
1900,4.542809,52.38518
1920,5.380467,51.56191
1920,5.385172,51.65175
1920,5.389902,51.74158
1940,5.394657,51.83142
1916,5.399436,51.92125
1920,5.399436,51.92125
1930,5.399436,51.92125
1938,5.399436,51.92125
1946,5.539638,51.82838
1918,5.544706,51.9182
1920,5.544706,51.9182
1920,5.549801,52.00802
1921,5.549801,52.00802
1920,5.68995,51.91497
1910,5.695334,52.00478
1917,5.695334,52.00478
1918,5.695334,52.00478
1920,5.695334,52.00478
1922,5.695334,52.00478
1930,5.695334,52.00478
1944,5.695334,52.00478
1940,5.125852,52.28621
1944,5.122778,52.09139
1920,5.840839,52.00136
1946,5.936738,51.3692
1948,5.936738,51.3692
1939,5.916749,50.92017
1943,5.916749,50.92017
1900,5.962656,52.17733
1910,5.962656,52.17733
1920,5.95679,51.99776
1939,5.950986,51.81818
1920,6.046112,51.90797
1940,6.046112,51.90797
1946,5.807232,51.46253
1910,5.823905,51.73195
1941,6.164835,51.91156
1918,6.147722,52.18095
1920,6.147722,52.18095
1918,6.141958,52.27074
1919,6.141958,52.27074
1920,6.141958,52.27074
