year,longitude,latitude
1924,56.4,73.2
1905,57,74
1925,56.45057,73.26701
1910,55.5,74
1925,56.4,73.2
1909,55.5,74
1910,55.5,74
1925,56.3,73.2
1910,55.5,74
1925,56.4,73.2
1924,56.4,73.2
1924,56.4,73.2
1925,56.4,73.2
1925,56.4,73.2
1925,56.4,73.2
1909,55.5,74
1924,56.4,73.2
1924,56.4,73.2
1925,56.4,73.2
1925,56.4,73.2
1901,57.00064,74.00037
1901,57,73.5
1924,56.4,73.2
1910,55.5,74
1925,56.3,73.2
1924,56.4,73.2
1925,56.4,73.2
1924,56.4,73.2
1924,56.4,73.2
1925,56.4,73.2
1902,53.6,73.2
1925,56.3,73.2
1924,56.4,73.2
1925,56.4,73.2
1925,56.3,73.2
1924,56.1,73.2
1901,56,73.3
1909,55.40052,74.16705
1921,52.30025,71.50027
1921,52.30025,71.50027
1921,55.35049,73.33369
1921,55.35049,73.33369
1921,55.83391,74.71708
1921,55.83391,74.71708
1921,55.83391,74.71708
1921,55.83391,74.71708
1921,52.30025,71.50027
1921,55.35049,73.33369
1925,56,73.3
1925,56,73.3
1925,56.5,73.2
1989,49.65,69.11667
1989,49.65,69.11667
1989,49.65,69.11667
2017,53.7134,72.8528
2015,52.8143,72.42286
2015,52.8143,72.42286
2015,52.8143,72.4229
2015,52.71672,72.37386
2015,52.7806,72.3742
2015,52.7806,72.3742
2015,52.86714,72.39914
2017,53.7134,72.8528
2015,52.86714,72.39914
2015,52.86714,72.39914
2015,52.86714,72.39889
2015,52.8671,72.3992
2015,52.8671,72.3992
2017,53.3781,72.8338
2017,53.7339,72.8335
2015,52.78056,72.37419
2015,52.71722,72.37361
2017,53.8411,72.812
2015,52.78056,72.37417
2015,52.78056,72.37419
2015,52.78056,72.37417
2015,52.7167,72.3739
2017,53.6335,72.8667
