year,longitude,latitude
1949,37.34959805,55.93291904
1924,44.04983189,57.98301333
1949,37.35,55.93333
1924,43.89982456,58.2996923
1949,33.83277778,62.99194444
1924,44.04983139,57.98301315
1949,37.34959793,55.93291855
1924,43.89982605,58.29969406
1949,37.34999847,55.93333054
1949,33.83277893,62.99194336
1955,51.90012867,56.16627744
1996,47.94,61.12
1990,48.34890612,54.09448863
1985,53,57
1990,47.98443982,55.59993318
1990,48.4833362,54.79956143
1990,48.56273757,53.92998966
1955,57.78369758,58.29968203
1974,53.69083333,61.68805556
1990,48.42474778,54.69874671
1991,56.22708333,58.00991667
1990,48.0833217,55.73292952
1974,50.09361111,61.08527778
1990,48.29999641,54.09953581
1990,48.63334136,53.91619583
1996,47.93999863,61.11999893
1955,51.90012741,56.16627884
1990,48.4833374,54.79956055
1985,53,57
1990,48.63334274,53.91619492
1990,48.29999542,54.0995369
1990,48.08332062,55.73292923
1990,47.98443985,55.59993362
1990,48.42474747,54.69874573
1974,50.09361267,61.08527756
1990,48.34890747,54.09449005
1974,53.69083405,61.68805695
1990,48.56273651,53.92998886
1955,57.78369904,58.29968262
2008,38.2,62.08333333
2006,52.14027778,61.89694444
2010,50.81666667,61.66666667
2012,40.35,62.74
2022,48.64595032,62.07968903
2023,53.88476181,61.72732925
2007,40.24000168,60.47000122
2008,51.70299911,57.4090004
2007,40.24000168,60.47000122
2010,50.81666565,61.66666794
2004,47.79999924,58.25
2007,40.24000168,60.47000122
2012,40.34999847,62.74000168
2008,52.41400146,57.63899994
2008,53.84799957,58.01699829
2007,40.24000168,60.47000122
2007,40.24000168,60.47000122
2008,52.5,57.45700073
2021,58.28847122,58.16455841
2013,39.82899857,64.61699677
2007,40.24000168,60.47000122
2023,48.64595032,62.07968903
2005,40.24000168,60.47000122
2008,38.20000076,62.08333206
2023,56.27571869,59.96152878
2023,56.24303055,58.66942978
2006,52.14027786,61.89694595
2008,52.18099976,58.44499969
