year,longitude,latitude
1904,53.4,65.3
1922,59.46666667,66.55
1949,53.41083333,65.3225
1925,58,67.5
1904,59.46666667,66.55
1902,40.51666667,64.75
1908,58.95,64.73333333
1904,61.3,68.1
1903,58,67.5
1904,58.95,64.73333333
1902,40.51666641,64.75
1904,61.29999924,68.09999847
1925,58,67.5
1904,61.29999924,68.09999847
1904,59.46666718,66.55000305
1904,59.46666718,66.55000305
1949,53.41083145,65.32250214
1922,59.46666718,66.55000305
1904,58.95000076,64.73332977
1908,58.95000076,64.73332977
1904,53.40000153,65.30000305
1904,53.40000153,65.30000305
1903,58,67.5
1992,62.83333333,66.81666667
1992,62.83333206,66.81666565
1992,62.83333206,66.81666565
