year,longitude,latitude
1918,21.55,48.18333
1896,14.47269022,53.47282559
1919,14.47380141,53.38294158
1908,16.42504465,53.28569824
1927,15.22225464,52.75464021
1903,15.6444226,51.22460869
1903,16.78617897,51.12281881
1903,15.78456099,51.04390372
1903,15.63822436,50.77501185
1903,15.78003924,50.77414966
1919,19.96957083,49.24317635
1920,19.96957083,49.24317635
1919,19.83220848,49.24186935
1903,16.34206949,50.58916684
1903,17.85663303,49.93215656
1913,23.55,42.13334
1948,7.03,61.95
1948,7.030006765,61.94999879
1949,6.105,61.866
1949,6.104993037,61.86599557
1896,5.3337,60.3993
1901,5.3337,60.3993
1901,5.3337,60.3993
1896,5.3337,60.3993
1901,5.3337,60.3993
1904,5.3337,60.3993
1901,5.3337,60.3993
1896,5.3337,60.3993
1901,5.3337,60.3993
1896,5.3337,60.3993
1905,5.3337,60.3993
1901,5.3337,60.3993
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1934,6.18,59.235
1934,6.179992701,59.23499615
1933,6.067,59.175
1933,6.067000353,59.17499603
1935,6.199006622,59.15100001
1935,6.199,59.151
1935,6.199,59.151
1930,5.916,59.068
1930,5.916004521,59.06799642
1916,8.8595,58.6288
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1901,5.315,60.391
1896,5.315,60.391
1896,5.315,60.391
1901,5.315,60.391
1896,5.315,60.391
1901,5.315,60.391
1896,5.315,60.391
1901,5.315,60.391
1896,5.314996283,60.39099932
1901,5.314996283,60.39099932
1901,5.417760824,60.37036787
1901,5.199,60.361
1901,5.342,60.323
1901,5.342,60.323
1901,5.342,60.323
1901,5.342,60.323
1901,5.342009951,60.32299811
1936,6.843997456,59.55300138
1936,6.844,59.553
1931,5.856004088,59.34700449
1931,5.856,59.347
1934,6.18,59.235
1901,5.357,60.329
1901,5.357002902,60.32899891
1901,5.355,60.328
1901,5.342,60.323
1901,5.198994628,60.3609956
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1901,5.357,60.329
1908,17.63178847,59.85821249
1908,17.631789,59.858212
1910,27.684652,62.877053
1949,28.571784,61.74981
1899,29.533145,61.509303
1944,28.567311,60.985253
1944,28.567311,60.985253
1899,25.89677,60.442204
1916,22.1522,60.4284
1917,24.66667,60.25
1914,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1910,28.240139,62.65649
1949,28.571744,61.74961
1949,28.571744,61.74961
1917,25.775272,61.527296
1917,25.775272,61.527296
1917,25.587423,61.5255
1949,25.211754,61.521094
1925,25.975018,61.169977
1944,28.56735,60.985273
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1917,24.66667,60.25
1899,24.17588,60.242885
1949,24.17588,60.242885
1917,24.17588,60.242885
1917,24.17588,60.242885
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1917,24.17533,60.242863
1899,23.657111,60.234287
1949,24.894979,60.219316
1945,24.924,60.207
1939,24.520539,60.158962
1936,23.486501,60.140014
1936,23.486501,60.140014
1945,24.924,60.207
1945,24.932162,60.201946
1936,23.486501,60.140014
1936,23.486501,60.140014
1910,9.56667,56.16667
1920,9.56667,56.16667
1906,9.88111,55.87194
1915,9.88111,55.87194
1934,8.81667,54.93333
1902,12.11667,54.85
1921,19.37444444,42.70861111
1934,12.51333333,46.26861111
1931,-0.0363,42.63848322
1944,0.499,42.65
1944,0.55,42.65
1943,-0.036,42.639
1931,-0.036,42.639
1943,-0.0363,42.63848322
1921,20.54638889,41.79138889
1896,3.429756,49.04271
1896,3.429755701,49.04270399
1898,6.271826572,44.98407016
1893,-1.55,47.21666667
1927,6.823357871,44.31624613
1927,0.230526949,42.7925629
1928,0.624196861,42.72937409
1949,2.116438058,42.50564419
1927,0.167820422,42.82704616
1931,3.202141559,50.26658408
1931,3.202142,50.26658
1925,8.117011531,48.6128802
1906,10.15202387,48.61050298
1891,8.806944444,53.075
1909,8.806944444,53.075
1909,13.08861111,53.01888889
1937,8.336044185,54.89487494
1938,8.336044185,54.89487494
1909,8.826388889,53.31027778
1921,8.117011531,48.6128802
1923,8.117011531,48.6128802
1904,9.019023452,48.08096716
1913,10.16238309,49.06020194
1924,10.16238309,49.06020194
1909,7.620277778,51.79
1909,10.51833333,51.70972222
1896,14.82083333,51.2925
1907,9.066949677,48.79616613
1926,8.041977479,48.63477119
1920,8.117011531,48.6128802
1902,12.29555556,50.47555556
1901,9.772777778,52.39111111
1909,9.798888889,51.94277778
1909,10.33888889,51.85888889
1928,13.75388889,50.76527778
1944,9.43627,46.7942
1944,9.43627,46.7942
1932,10.30113,46.79379
1932,10.30113,46.79379
1918,10.30113,46.79379
1932,10.30113,46.79379
1928,9.53612,46.66642
1924,9.5753,46.6657
1933,8.60515,46.52682
1948,8.03003,46.37833
1949,7.4711,46.3079
1926,9.55694,46.86401
1926,9.53037,46.8555
1926,9.60757,46.81807
1880,8.552332,46.810727
1880,8.49329,46.80679
1880,8.40143,46.79861
1919,10.27495,46.79444
1944,9.43627,46.7942
1944,9.43627,46.7942
1932,10.30113,46.79379
1932,10.30113,46.79379
1932,10.30113,46.79379
1932,10.30113,46.79379
1923,9.53612,46.66642
1928,9.53612,46.66642
1928,9.53612,46.66642
1885,7.53597,46.28987
1914,7.53597,46.28987
1885,7.53597,46.28987
1885,7.503503,46.276399
1904,6.7866,47.09764
1905,9.3385,46.99382
1905,9.3385,46.99382
1925,9.46652,46.90164
1926,9.50588,46.90094
1942,9.55836,46.89998
1912,9.603731,46.885629
1926,9.55694,46.86401
1922,9.55694,46.86401
1925,9.5828,46.85453
1925,9.5828,46.85453
1928,9.53002,46.84651
1933,9.58173,46.82755
1948,9.58173,46.82755
1926,9.60757,46.81807
1900,8.40175,46.8166
1880,8.421323,46.811928
1911,9.44568,46.69505
1917,9.44062,46.9111
1918,10.28757,46.78513
1918,10.28757,46.78513
1918,10.28757,46.78513
1934,8.96306,46.73851
1933,9.55164,46.72913
1932,10.08771,46.71794
1933,9.05544,46.76423
1918,10.28757,46.78513
1918,10.28757,46.78513
1943,7.86023,46.27114
1918,10.28757,46.78513
1943,7.86023,46.27114
1885,9.14392,46.25008
1942,9.09261,46.26883
1942,7.10797,46.25345
1943,7.86023,46.27114
1885,9.189722,46.262869
1943,7.86023,46.27114
1943,7.86023,46.27114
1943,7.86023,46.27114
1943,7.86023,46.27114
1943,7.86023,46.27114
1938,10.197207,47.328404
1938,10.188175,47.327768
1938,10.128953,47.325873
1938,10.154572,47.324397
1938,10.165991,47.305253
1938,10.128472,47.279581
1931,11.689722,47.265556
1943,10.213056,47.1275
1908,15.491667,47.107222
1928,13.833333,46.75
1936,12.6105,46.7251
1929,12.986729,46.661693
1939,13.0145,46.6568
1929,12.945623,46.648621
1939,13.012397,46.644781
1929,12.965278,46.6375
1939,12.965278,46.6375
1929,12.986417,46.62414
1937,12.947372,46.611534
1943,13.1722,47.5462
1914,15.45,47.504722
1901,12.159722,47.449722
1948,13.655379,47.423155
1905,12.143056,47.470833
1910,12.203889,47.465278
1903,12.203889,47.465278
1922,13.655379,47.423155
1910,12.159722,47.449722
1946,13.620564,47.443304
1930,12.573611,46.937222
1920,14.642266,46.866378
1935,12.796667,46.8075
1909,15.392222,47.074722
1937,12.875599,47.060287
1935,12.6,47.001389
1930,13.170329,46.99104
1945,13.97,47.5994
1940,13.498172,47.549919
1929,15.61,47.7
1939,13.170329,46.99104
1947,13.8536,47.6498
1904,15.386389,47.090556
1936,12.655,46.983333
1944,15.116667,48.776389
1924,15.359444,48.774722
1939,13.84211,47.628228
1935,16.044444,47.825
1937,15.011111,48.863889
1936,15.011111,48.863889
1936,13.8325,48.731111
1925,15.1875,48.403333
1939,33.43781734,62.45979005
1939,35.44092148,62.40677957
1943,33.6195,61.6928
1943,33.6195,61.6928
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1930,47,51.5
1930,42.58333,51
1926,30.7508,61.7848
1926,30.7887,61.7579
1926,30.7887,61.7579
1841,30.6868,61.7039
1841,30.6868,61.7039
1926,31.164,61.6683
1939,29.55167752,60.62871282
1931,28.9673,60.3744
1932,28.9673,60.3744
1925,28.9673,60.3744
1931,28.9673,60.3744
1930,40.98583,56.99417
1947,37.60075,56.53086111
1919,37.6,56.28333
1926,30.7508,61.7848
1930,57.05278,59.79722
1930,29.86667,58.73333
1930,31.28333,58.51667
1930,56.25,58
1930,39.86666,57.61666
1930,56.95,57.41667
1930,40.39806,56.14278
1947,37.3425,55.95922222
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1926,31.164,61.6683
1939,33.45177665,61.57604411
1939,34.45549986,61.55706183
1939,31.59041038,61.54139552
1939,32.53695551,61.53772815
1939,30.58503639,61.52978166
1939,32.53865689,61.1010221
1939,34.50104552,61.08942364
1939,30.49782891,61.06605905
1943,34.57,60.9615
1943,34.57,60.9615
1939,30.5275342,60.62928632
1925,28.9673,60.3744
1932,28.9673,60.3744
1925,29.7831,60.3333
1925,29.7831,60.3333
1930,30.26417,59.89444
1930,30.01667,59.35
1930,37.91667,59.33333
1935,37.29667,55.95306
1935,37.29930556,55.94986111
1947,37.35,55.93333
1919,37.24088889,55.75672222
1945,37.62027778,55.75502778
1945,37.5,55.75
1930,37.58333,55.75
1930,39.74,54.61972
1930,37.5,54
