year,longitude,latitude
1936,6.445003,59.408
1940,6.445003,59.408
1940,6.445003,59.408
1946,7.069992,60.22
1939,30.80452,69.61149
1936,6.445003,59.408
1936,6.445003,59.408
1936,6.445003,59.408
1940,6.445003,59.408
1940,6.940008,59.51
1940,6.940008,59.51
1900,6.499993,60.33
1936,6.73,59.52999
1936,6.849993,59.56
1936,6.849993,59.56
1928,8.979998,61.63
1936,6.980007,59.83001
1936,6.980007,59.83001
1922,7.029994,59.73
1934,7.029994,59.73
1942,8.289991,60.61
1936,6.849993,59.56
1947,25.79,71.01
1947,25.06999,70.09
1947,9.606005,62.307
1947,25.06999,70.09
1939,11.56563,46.96579
1935,10.40351,46.5292
1949,11.5823,46.99913
1900,11.57028,46.99833
1923,10.29893,47.38246
1923,10.38226,47.38246
1915,10.34893,47.41579
1928,9.493117,46.5943
1908,7.632914,46.18629
1908,7.599499,46.20791
1910,7.727879,45.98294
1935,7.728117,46.02774
1933,9.041795,46.78151
1926,9.439538,46.9102
1935,7.761366,46.00609
1935,7.761366,46.00609
1926,9.472573,46.88803
1933,9.076296,46.80442
1928,9.462417,46.61826
1938,12.77818,47.09417
1937,12.78197,47.09145
1939,10.86562,46.98246
1948,11.11,47.1652
1937,12.60194,47.0625
1937,12.62083,47.10695
1930,12.625,47.09306
1930,12.625,47.09306
1935,12.625,47.09306
1935,12.625,47.09306
1935,12.625,47.09306
1935,12.62579,47.09064
1936,12.63232,47.09914
1935,12.65333,47.03056
1935,12.65833,47.02778
1935,12.65833,47.02778
1936,12.66566,47.03247
1938,12.685,47.06306
1935,12.69444,46.98278
1937,12.69583,47.05139
1937,12.70278,47.04083
1938,12.71,47.098
1940,12.71,47.098
1949,13.049,47.04914
1911,13.1796,47.0425
1930,12.625,47.09306
1930,12.625,47.09306
1937,12.7162,47.1057
1937,12.77818,47.09417
1911,13.1796,47.0425
1947,10.84895,46.96579
1919,12.35,47.1
1935,12.65333,47.03056
1935,12.65833,47.02778
1936,12.66566,47.03247
1936,12.699,46.96581
1940,12.73663,47.09226
1938,12.77818,47.09417
1942,12.69899,47.06581
1923,10.43227,47.38246
1911,11.06562,47.24913
1947,10.84833,46.96444
1949,13.049,47.04914
1929,31.2274,69.5656
1939,31.2274,69.5656
1928,31.2839,69.6271
1927,31.9702,69.9366
1913,41.1261,67.076
1939,31.2274,69.5656
1915,31.9702,69.9366
1939,32.45297,69.63275
1939,33.50625,67.80688
1920,33.3662,69.1899
1907,33.4555,69.2033
1910,33.4555,69.2033
1912,33.4555,69.2033
1912,33.5829,69.1472
1939,33.71753,69.16077
1939,35.26833,69.13764
1928,36.248,69.0794
1914,41.279,67
1922,39.7016,68.0019
1928,39.7678,68.1365
1928,31.217,69.5401
1929,31.2274,69.5656
1929,31.2274,69.5656
1930,30.1342,69.6548
1930,31.2274,69.5656
1930,31.23,69.7016
1930,31.23,69.7016
1930,31.23,69.7016
1930,31.23,69.7016
1930,31.23,69.7016
1930,30.441,69.36
1930,30.1342,69.6548
1930,31.23,69.7016
1859,22.36649081,44.89921474
1924,24.5608,69.8466
1896,7.7987,61.506
1896,7.7987,61.506
1893,9.458653,62.0787
1890,18.630335,69.744523
1940,6.445,59.408
1892,30.8226,69.7723
1925,19.8072,70.1668
1892,30.8226,69.7723
1946,7.07,60.22
