year,longitude,latitude
1949,10.28216,42.75859
1930,9.796865,43.03315
1921,10.16634,42.77333
1931,9.840007,43.04634
1930,9.796865,43.03315
1930,9.815335,43.03752
1931,9.815335,43.03752
1931,9.840007,43.04634
1931,9.815335,43.03752
1930,9.82761,43.03743
1931,9.815335,43.03752
1926,9.174535,42.16674
1902,9.208388,41.41011
1902,9.208388,41.41011
1910,9.174758,42.2478
1926,8.750425,42.26567
1910,9.174758,42.2478
1926,8.798984,42.24776
1922,9.126002,42.11277
1926,9.174535,42.16674
1926,9.138,42.06772
1915,9.198325,42.03161
1926,9.150279,42.14877
1909,8.702686,42.10345
1909,8.702686,42.10345
1910,8.715584,41.92335
1910,9.138098,42.11275
1909,8.702686,42.10345
1910,8.715584,41.92335
1910,9.138098,42.11275
1926,8.629333,42.23833
1926,8.701925,42.26556
1909,8.920155,42.28393
1926,9.174535,42.16674
1926,9.174535,42.16674
1902,9.208388,41.41011
1915,9.208388,41.41011
1926,9.05351,42.21189
1926,9.05351,42.21189
1914,9.101839,42.13081
1926,9.065495,42.0858
1904,8.938838,41.77507
1910,8.980864,42.0678
1910,8.980864,42.0678
1926,8.847404,42.27485
1915,8.798984,42.24776
1914,9.101839,42.13081
1926,8.798984,42.24776
1909,9.210644,42.10364
1926,9.210644,42.10364
1926,9.210644,42.10364
1910,9.138098,42.11275
1919,9.126002,42.11277
1922,9.126002,42.11277
1910,9.138098,42.11275
1904,8.938838,41.77507
1901,8.908545,41.92366
1909,8.883769,42.2839
1926,9.150279,42.14877
1969,10.17857,42.77321
1969,10.20318,42.78196
1978,10.31667,42.33333
1978,10.31667,42.33333
1969,10.17857,42.77321
1969,10.20318,42.78196
1999,10.44293,43.41581
1972,9.196832,41.54524
1964,9.174708,42.22979
1976,9.113906,42.11278
1986,9.372597,42.90474
1964,9.101839,42.13081
1983,9.101782,42.09478
1963,9.346588,42.63466
1963,9.372597,42.90474
1963,9.513065,42.11169
1983,9.212519,42.66201
1984,8.931904,42.63517
1985,9.420981,42.81452
1985,9.162498,42.19378
1985,9.420981,42.81452
1963,9.346588,42.63466
1985,9.089261,41.78856
1976,9.125242,41.72548
1983,9.383398,42.67057
1993,9.100113,41.7537
1983,9.407864,42.67949
1963,9.089931,42.26591
1985,9.20052,42.72507
1985,9.488598,42.07577
1985,9.500615,42.06672
1985,9.500615,42.06672
1982,8.89557,42.48204
1985,9.368546,42.22032
1963,9.383453,42.67957
1985,9.396576,42.82361
1974,9.089931,42.26591
1993,9.100113,41.7537
1985,9.40875,42.81456
1965,9.16259,42.2298
1985,9.452845,42.14797
1963,9.162428,42.16676
1976,8.739116,42.06751
1983,8.739116,42.06751
1963,9.359147,42.69766
1974,8.749998,42.37374
1983,9.390621,41.869
1983,9.383453,42.67957
1976,9.064964,41.5634
1985,9.396576,42.82361
1963,9.065485,42.07679
1985,9.40875,42.81456
1984,8.931904,42.63517
1993,9.138724,41.81593
1985,9.368546,42.22032
1983,9.432336,42.6884
1976,9.34739,42.77875
1963,9.421901,42.9496
1986,9.421901,42.9496
1963,9.383509,42.68858
1983,9.407864,42.67949
1984,8.931904,42.63517
1963,9.212519,42.66201
1959,9.089931,42.26591
1963,9.162428,42.16676
1982,8.834617,42.527
1982,8.846639,42.59005
1982,8.846639,42.59005
1963,8.846859,42.5
1964,9.512427,42.10425
1964,9.512992,42.10268
1951,9.220353,41.41008
1984,8.931904,42.63517
1984,8.931904,42.63517
1970,9.490404,42.30993
1963,9.052905,41.48234
1985,9.066096,42.66219
1970,9.478271,42.30998
1989,8.89542,42.5721
1985,9.420981,42.81452
1985,9.430783,42.46327
1985,9.452845,42.14797
1985,9.443073,42.48123
1963,9.359147,42.69766
1963,9.372597,42.90474
1989,9.125665,41.94165
1993,9.174835,41.84454
1985,9.396576,42.82361
1985,9.40875,42.81456
1985,9.341703,41.73405
1972,9.138689,42.38294
1963,9.162428,42.16676
1963,9.162428,42.16676
1993,9.138724,41.81593
1957,9.138098,42.11275
1982,8.858847,42.58107
1989,8.858847,42.58107
1982,8.8712,42.50003
1972,9.161334,41.73444
1975,9.512992,42.10268
1985,9.197161,41.65332
1983,9.383453,42.67957
1963,9.383509,42.68858
1985,9.198634,42.13068
1989,8.788568,41.73436
1983,8.823327,42.21177
1972,8.835419,42.22079
1985,9.4432,42.49924
1971,9.444607,42.69736
1985,9.430783,42.46327
1983,9.432336,42.6884
1982,8.750497,42.24766
1982,8.762585,42.25669
1982,8.834617,42.527
1982,9.403578,42.01306
1985,9.452845,42.14797
1972,9.149184,41.68042
1963,9.149771,41.93261
1963,9.150643,42.30187
1985,9.066096,42.66219
1985,9.066096,42.66219
1983,9.175888,42.65306
1983,9.175888,42.65306
1985,9.188224,42.69807
1985,9.188224,42.69807
1993,9.191228,41.65037
1963,9.198298,42.0226
1985,9.345247,42.39151
1985,9.365804,41.74298
1965,9.366316,41.83305
1985,9.368546,42.22032
1985,9.368546,42.22032
1973,9.197161,41.65332
1985,9.368546,42.22032
1963,9.383453,42.67957
1963,9.383453,42.67957
1963,9.383453,42.67957
1983,9.383453,42.67957
1983,9.432336,42.6884
1985,9.443073,42.48123
1989,9.150643,42.30187
1985,9.443137,42.49024
1985,9.443137,42.49024
1978,9.444607,42.69736
1957,9.446222,42.92249
1963,9.458542,42.93145
1957,9.138098,42.11275
1982,8.652931,42.35548
1982,8.652882,42.36449
1982,8.6774,42.31953
1989,8.689712,42.28354
1983,8.702601,42.12146
1976,8.739116,42.06751
1977,8.750461,42.25667
1974,8.749998,42.37374
1963,9.513065,42.11169
1972,9.537255,42.11158
1984,9.005079,42.57215
1984,9.005079,42.57215
1972,9.005084,42.63519
1983,9.175888,42.65306
1986,9.212519,42.66201
1955,9.298018,42.67982
1984,8.89542,42.5721
1982,8.89557,42.48204
1982,8.89542,42.5721
1972,9.149184,41.68042
1985,9.443073,42.48123
1982,8.834617,42.527
1963,9.280914,41.58109
1963,9.138098,42.11275
1976,8.921082,41.53637
1982,8.628805,42.32839
1989,8.652634,42.40952
1983,9.175888,42.65306
1983,9.175888,42.65306
1985,9.20052,42.72507
1963,9.212519,42.66201
1983,9.212519,42.66201
1989,9.2611,42.60787
1963,9.346588,42.63466
1976,8.739116,42.06751
1983,8.739116,42.06751
1975,9.512992,42.10268
1985,9.344411,42.23841
1974,8.749998,42.37374
1982,8.750497,42.24766
1983,8.835419,42.22079
1982,8.83483,42.44595
1972,9.196832,41.54524
1972,9.196832,41.54524
1972,9.138689,42.38294
1972,9.138689,42.38294
1963,9.138098,42.11275
1982,8.822595,42.47295
1963,9.458542,42.93145
1963,9.470317,42.86836
1976,8.921082,41.53637
1985,9.296143,42.28357
1985,9.296481,42.35562
1982,8.628805,42.32839
1989,8.652634,42.40952
1982,8.652931,42.35548
1982,8.652882,42.36449
1982,8.6774,42.31953
1989,8.689712,42.28354
1983,8.702601,42.12146
1951,9.310223,42.67979
1972,9.348453,42.96785
1963,9.359147,42.69766
1963,8.920861,41.71651
1982,8.7248,42.58082
1982,8.7248,42.58082
1982,8.7248,42.58082
1982,8.7248,42.58082
1985,9.197161,41.65332
1985,9.368546,42.22032
1985,9.368546,42.22032
1993,9.378,41.66953
1972,9.138689,42.38294
1983,8.797975,42.56296
1982,8.822595,42.47295
1963,8.896732,41.77054
1985,9.406283,42.43634
