year,longitude,latitude
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.27686,42.56209
1939,23.25513,42.60124
1934,-4.530935,54.19814
1933,-4.5319,54.23391
1934,-4.5319,54.23391
1933,-4.532584,54.22508
1936,6.84,59.56
1940,6.84,59.56
1939,30.84999,69.59499
1947,25.49999,69.47
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1947,25.06999,70.09
1942,7.249991,60.42
1943,7.219996,60.42
1940,6.84,59.56
1940,6.84,59.56
1936,6.8,59.58
1933,6.780005,59.06
1933,6.780005,59.06
1933,6.780005,59.06
1936,6.73,59.52999
1940,6.650003,61.17
1941,6.570007,61.08001
1931,6.560008,59.06
1931,6.560008,59.06
1941,6.51,60.99
1900,6.499993,60.33
1900,6.499993,60.33
1900,6.499993,60.33
1900,6.499993,60.33
1935,6.187002,61.177
1935,6.538007,61.17001
1905,-7.380903,54.66647
1925,-4.483748,54.81493
1939,-4.546552,50.52524
1939,-4.61143,50.54487
1939,-4.61143,50.54487
1939,-4.680511,50.49885
1905,-6.120837,55.10268
1931,-1.77829,52.64218
1931,-1.853814,52.59768
1926,-1.86131,54.86272
1907,-1.864751,53.82919
1933,-1.891292,55.30308
1931,-1.91271,52.67864
1933,-1.92116,55.33898
1940,-1.92116,55.33898
1927,-1.92134,55.24912
1926,-1.92204,54.88963
1940,-1.92204,54.88963
1921,-1.92222,54.79976
1924,-1.92222,54.79976
1925,-1.92222,54.79976
1940,-1.922753,55.31209
1919,-1.92357,54.08071
1919,-1.92373,53.99083
1919,-1.92373,53.99083
1920,-1.92373,53.99083
1920,-1.92373,53.99083
1906,-1.9239,53.90094
1907,-1.92406,53.81105
1907,-1.92406,53.81105
1907,-1.92406,53.81105
1931,-1.9261,52.64237
1921,-1.939243,54.83583
1924,-1.939243,54.83583
1925,-1.939243,54.83583
1927,-1.970049,55.27617
1940,-1.985961,54.84483
1927,-2.048367,54.94367
1929,-2.048367,54.94367
1924,-2.063803,54.84481
1928,-2.07272,51.92306
1922,-2.07436,52.91208
1922,-2.07436,52.91208
1924,-2.07451,53.00199
1924,-2.07451,53.00199
1924,-2.07451,53.00199
1924,-2.07451,53.00199
1919,-2.07594,53.81105
1926,-2.07778,54.79976
1926,-2.07778,54.79976
1924,-2.07796,54.88963
1927,-2.07813,54.97951
1929,-2.07813,54.97951
1926,-2.079365,54.83582
1926,-2.079365,54.83582
1928,-2.132176,51.87845
1922,-2.149998,52.86736
1922,-2.149998,52.86736
1924,-2.150306,52.95726
1924,-2.150306,52.95726
1924,-2.150306,52.95726
1924,-2.150306,52.95726
1945,-2.35376,50.66355
1947,-2.35376,50.66355
1945,-2.402043,50.69268
1945,-2.40989,50.6908
1947,-2.40989,50.6908
1945,-2.41193,50.69085
1947,-2.41193,50.69085
1947,-2.425905,50.66832
1944,-2.79823,51.83046
1944,-2.79823,51.83046
1923,-2.833148,52.54539
1923,-2.833148,52.54539
1924,-2.833148,52.54539
1931,-2.833148,52.54539
1931,-2.833148,52.54539
1901,-2.856461,52.53174
1931,-2.856461,52.53174
1944,-2.871269,51.78539
1944,-2.871269,51.78539
1906,-2.933055,52.59769
1906,-2.933055,52.59769
1906,-2.933055,52.59769
1907,-2.934275,52.58509
1907,-2.934275,52.58509
1907,-2.934275,52.58509
1927,-3.08845,51.82813
1944,-3.09062,51.91803
1927,-3.12708,51.92219
1927,-3.13556,51.918
1927,-3.161158,51.78288
1944,-3.163449,51.87277
1920,-3.16678,54.52902
1920,-3.16678,54.52902
1925,-3.20152,55.96219
1925,-3.28155,55.91646
1943,-3.84326,52.53813
1943,-3.90743,52.48766
1943,-3.915865,52.48336
1943,-3.916232,52.49235
1924,-3.92626,53.26829
1924,-3.928277,53.26807
1945,-4.05114,50.64604
1945,-4.05114,50.64604
1930,-4.05655,50.46199
1930,-4.058437,50.46204
1920,-4.06083,56.60242
1945,-4.120965,50.60033
1945,-4.120965,50.60033
1925,-4.41012,54.77584
1924,-3.6427,51.10222
1924,-3.713666,51.05671
1930,-3.73451,57.1241
1943,-0.53333,42.78333
1943,-0.53333,42.78333
1931,-0.03632659,42.63848
1921,20.51694,42.215
1901,2.11667,42.51667
1949,2.116438,42.50565
1949,1.994972,42.5605
1949,1.994972,42.5605
1949,0.120004,42.77901
1904,0,42.73333
1927,6.879986,44.83045
1949,12.07111,47.81354
1949,11.9216,47.824
1949,11.75659,47.82462
1949,11.40674,47.70815
1949,11.25762,47.71806
1949,10.74632,47.60022
1949,10.41871,47.59917
1915,10.27583,47.40861
1925,9.907958,46.92567
1914,9.472573,46.88803
1914,9.439538,46.9102
1916,8.250015,46.38504
1916,8.153325,46.36412
1915,8.020497,46.09501
1915,7.986852,46.07176
1908,7.894957,46.54537
1910,7.727879,45.98294
1943,7.58333,46.1833
1936,14.9763,46.786
1948,14.75333,47.33889
1911,14.69889,47.615
1946,14.69111,47.35444
1946,14.66056,47.56083
1946,14.62056,47.35861
1946,14.62056,47.35861
1932,14.5833,46.9667
1940,14.5252,47.54869
1948,14.48944,47.64083
1938,14.4879,46.5064
1948,14.48,47.61278
1908,14.4621,47.5758
1908,14.45278,47.56694
1940,14.4125,47.44917
1946,14.39167,47.64583
1946,14.39167,47.64583
1911,14.35972,47.62528
1946,14.3547,47.2647
1942,14.17861,47.77472
1926,14.16667,46.46667
1947,14.1579,47.4334
1949,13.9633,47.6741
1944,13.95278,47.48556
1921,13.92937,46.95276
1947,13.8756,47.2117
1923,13.81456,47.64702
1948,13.65538,47.42316
1948,13.65538,47.42316
1946,13.6526,47.4608
1903,13.64861,47.5625
1903,13.64861,47.5625
1947,13.64861,47.5625
1947,13.64861,47.5625
1947,13.64861,47.5625
1932,13.64722,47.5
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.61578,47.45361
1948,13.47834,47.49319
1927,13.3694,46.6281
1928,13.3694,46.6281
1941,13.3428,46.9889
1911,13.1796,47.0425
1911,13.1796,47.0425
1931,13.17042,46.99087
1941,13.17042,46.99087
1948,13.14715,46.68628
1948,13.14715,46.68628
1948,13.14715,46.68628
1948,13.14715,46.68628
1948,13.14715,46.68628
1948,13.14715,46.68628
1948,13.14715,46.68628
1929,13.00027,46.66319
1929,12.98642,46.62414
1929,12.98642,46.62414
1929,12.98642,46.62414
1929,12.98642,46.62414
1929,12.98642,46.62414
1941,12.9849,47.0683
1941,12.9849,47.0683
1939,12.96528,46.6375
1929,12.94562,46.64862
1929,12.94562,46.64862
1929,12.94562,46.64862
1939,12.93547,46.71096
1928,12.88649,46.61487
1929,12.88649,46.61487
1949,12.86774,46.61271
1931,12.8202,47.12526
1931,12.8202,47.12526
1935,12.79667,46.8075
1937,12.76972,47.06917
1935,12.7649,46.834
1931,12.74021,47.04375
1931,12.74021,47.04375
1931,12.74021,47.04375
1930,12.7061,46.9261
1930,12.7,47.02222
1930,12.7,47.02222
1931,12.7,47.02222
1930,12.69917,46.925
1930,12.69917,46.925
1930,12.69917,46.925
1930,12.69917,46.925
1930,12.69917,46.925
1930,12.69917,46.925
1905,12.6964,47.6827
1934,12.6943,47.5869
1934,12.6943,47.5869
1936,12.69395,46.66134
1936,12.69395,46.66134
1931,12.69167,47.02028
1935,12.69167,47.03194
1935,12.69167,47.03194
1935,12.69167,47.03194
1935,12.69167,47.03194
1935,12.69167,47.03194
1931,12.69167,47.02028
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.69028,47.02778
1935,12.68889,47.02361
1935,12.68833,47.02111
1935,12.68833,47.02111
1935,12.68472,46.99028
1935,12.68472,46.99028
1935,12.68472,46.99028
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1901,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.67639,47.01972
1935,12.674,47.0206
1935,12.674,47.0206
1935,12.674,47.0206
1936,12.66389,46.98056
1935,12.66222,47.02889
1935,12.65833,47.02778
