year,longitude,latitude
1932,20.78847,50.50677
1905,20.37254,49.96565
1905,20.09873,49.69401
1905,19.95234,50.05256
1920,19.9677,49.33311
1931,16.85,54.5833
1914,16.46532,54.45378
1918,17.08191,54.44473
1909,17.84585,54.33923
1908,17.96452,54.42526
1918,16.9194,54.26764
1909,17.83966,54.24947
1907,18.16034,54.24947
1909,18.16034,54.24947
1915,15.83928,54.01036
1909,17.64066,53.53471
1910,14.62335,53.4734
1912,18.37047,53.35513
1908,16.42505,53.2857
1910,17.62402,53.26534
1913,17.62402,53.26534
1914,17.31956,53.18174
1911,17.61853,53.17554
1911,18,53.15
1937,16.12041,53.10916
1912,17.31472,53.09192
1937,17.31472,53.09192
1912,17.74509,52.813
1927,15.22225,52.75464
1925,23.88732,52.71969
1932,19.00447,52.64815
1937,14.92622,52.57503
1914,16.40162,52.56675
1937,17.13886,52.55573
1937,16.69312,52.47303
1937,16.69312,52.47303
1937,16.98336,52.3786
1913,17.27695,52.37331
1912,15.51332,52.30423
1932,16.83281,52.29112
1937,16.83281,52.29112
1937,16.82911,52.20126
1932,19.90455,52.12044
1903,16.93652,51.30029
1903,16.21714,51.22005
1903,17.07178,51.11811
1903,16.92525,51.03068
1903,16.637,50.94514
1939,23.22862,42.64408
1939,23.21954,42.62895
1939,23.25513,42.60124
1939,23.25513,42.60124
1939,23.25513,42.60124
1939,23.25513,42.60124
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1917,23.19615,42.65732
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.21717,42.66502
1939,23.23077,42.63594
1939,23.19895,42.63295
1939,23.28795,42.63211
1939,23.28795,42.63211
1939,23.21954,42.62895
1939,23.25513,42.60124
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,23.27804,42.59449
1939,10.418,61.265
1939,10.418,61.265
1939,10.418,61.265
1940,10.418,61.265
1941,10.418,61.265
1941,10.418,61.265
1939,10.418,61.265
1939,10.418,61.265
1939,10.418,61.265
1939,10.418,61.265
1939,10.418,61.265
1940,10.418,61.265
1940,10.418,61.265
1940,10.418,61.265
1941,10.418,61.265
1941,10.418,61.265
1941,10.418,61.265
1941,10.418,61.265
1940,10.418,61.265
1940,10.418,61.265
1948,10.37,61.16
1939,10.71,59.93999
1939,10.43,59.83
1939,10.26,59.79
1939,10.26,59.79
1939,10.26,59.79
1939,10.21,59.74
1939,10.21,59.74
1935,10.45001,59.18
1934,5.830005,59.162
1931,5.741002,58.541
1938,5.741002,58.541
1938,5.741002,58.541
1938,5.741002,58.541
1938,5.741002,58.541
1938,5.741002,58.541
1931,5.808999,58.516
1931,5.808999,58.516
1931,5.808999,58.516
1931,5.808999,58.516
1932,5.808999,58.516
1935,5.808999,58.516
1933,5.644997,59.04
1934,5.660003,58.889
1933,5.715992,58.885
1932,5.640006,58.88
1931,5.760003,58.85
1924,-6.367666,52.86004
1924,-6.366634,52.85972
1925,-6.177383,52.79436
1924,-6.371021,52.77023
1924,-6.369999,52.76989
1921,-6.191974,53.48632
1921,-6.191974,53.48632
1923,-6.191974,53.48632
1923,-6.191974,53.48632
1921,-6.164857,53.44118
1921,-6.196864,53.39674
1921,-6.196864,53.39674
1921,-6.195784,53.39651
1921,-6.195784,53.39651
1923,-6.503673,53.22127
1923,-6.503673,53.22127
1923,-6.503673,53.22127
1923,-6.502663,53.22101
1923,-6.502663,53.22101
1923,-6.204397,53.21713
1923,-6.204397,53.21713
1923,-6.203343,53.21687
1923,-6.203343,53.21687
1923,-6.205159,53.19918
1921,-6.065831,52.94508
1921,-6.065831,52.94508
1924,-6.246407,52.92122
