year,longitude,latitude
1918,16.9194,54.26764
1915,18.815,50.48646
1905,19.95234,50.05256
1920,19.95234,50.05256
1905,20.09873,49.69401
1910,14.62335,53.4734
1914,16.46532,54.45378
1903,15.07147,51.13644
1903,15.64442,51.22461
1903,16.34721,50.76898
1915,15.83928,54.01036
1908,16.42505,53.2857
1931,16.85,54.5833
1931,17.0333,54.45
1931,17.0333,54.45
1918,17.08191,54.44473
1909,17.84585,54.33923
1930,16.76234,50.49363
1948,16.76234,50.49363
1903,16.77928,50.94306
1903,16.93652,51.30029
1903,17.49519,51.01989
1932,16.83281,52.29112
1932,16.83281,52.29112
1939,16.83281,52.29112
1913,17.27695,52.37331
1912,17.31472,53.09192
1912,17.44864,52.81948
1911,17.61853,53.17554
1911,18,53.15
1914,18,53.15
1931,16.85,54.5833
1931,16.85,54.5833
1931,16.85,54.5833
1928,18.24652,50.56434
1930,18.24652,50.56434
1931,18.24652,50.56434
1930,18.36747,50.92693
1903,18.97529,53.27702
1908,18.03866,54.33551
1932,20.78847,50.50677
1932,19.90455,52.12044
1932,20.92682,52.21541
1920,19.96957,49.24318
1920,19.96957,49.24318
1905,19.9677,49.33311
1905,19.96391,49.51298
1905,20.10039,49.60407
1932,21.49736,50.86563
1925,23.88732,52.71969
1930,32.83333,47.83333
1930,34,45
1930,36.25,50
1930,27.56667,53.9
1930,30.33639,53.91389
1930,30.19444,55.1925
1925,23.8814,52.62991
1903,17.85663,49.93216
1941,-4.53741,54.32371
1941,-4.512539,54.32439
1935,5.438993,60.388
1936,5.342002,60.295
1901,5.34201,60.323
1901,5.34201,60.323
1901,5.34201,60.323
1901,5.34201,60.323
1901,5.34201,60.323
1936,5.349994,60.38
1901,5.357003,60.329
1901,5.357003,60.329
1901,5.357003,60.329
1901,5.357003,60.329
1901,5.357003,60.329
1901,5.357003,60.329
1901,5.357003,60.329
1905,5.357003,60.329
1905,5.357003,60.329
1901,5.314996,60.391
1901,5.314996,60.391
1909,5.314996,60.391
1933,6.545002,58.459
1933,6.545002,58.459
1938,5.938008,58.906
1936,6.350001,59.65
1935,6.495007,59.785
1935,6.538007,61.17001
1935,6.569004,61.077
1949,7.090009,61.23
1934,10.41,59.25
1903,-2.2032,49.7201
1903,-2.5984,49.4371
1903,-2.4643,49.4571
1903,-2.4464,49.4742
1907,-2.3588,49.4324
1905,-9.742904,51.86988
1921,-9.516944,53.76013
1921,-9.516446,53.75998
1910,-9.053226,53.40571
