year,longitude,latitude
1938,22.29976,54.09615
1912,21.53181,53.83235
1912,22.29976,54.09615
1939,20.10532,49.33426
1910,22.04766,50.05256
1924,29.616,55.3
1917,26.29921,55.9662
1911,24.728,59.4338
1911,26.736,58.3661
1918,21.483,42
1918,21.483,42
1939,-3.75,41.3
1905,-4.56667,41.58333
1939,-3.75,41.3
1917,4.208495,43.6823
1944,3.872386,43.60432
1940,16.84167,47.95
1934,16.82,48.3
1940,16.84167,47.95
1940,16.84167,47.95
1937,16.82,48.3
1932,16.78333,47.8
1935,16.83333,47.75
1937,16.90556,47.7
1940,16.84167,47.95
1940,16.84167,47.95
1930,16.21667,47.83333
1935,16.83194,47.74445
1940,16.84167,47.95
1937,16.82,48.3
1942,16.98333,48.09722
1940,16.84167,47.95
1940,16.86806,47.92639
1941,16.816,48.3
1941,16.816,48.3
1931,16.82,48.3
1935,16.83194,47.74445
1935,16.83333,47.75
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.86806,47.92639
1941,16.816,48.3
1935,16.82,48.3
1935,16.82,48.3
1936,16.82,48.3
1935,16.82,48.3
1940,16.84167,47.95
1940,16.84167,47.95
1936,16.82,48.3
1937,16.82,48.3
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1936,16.83194,47.74445
1935,16.83333,47.75
1941,16.833,47.75
1941,16.833,47.9333
1935,16.83194,47.74445
1940,16.8375,47.85417
1941,16.916,47.7
1940,16.84167,47.95
1940,16.84167,47.95
1940,16.84167,47.95
1941,16.233,47.8833
1930,13.27167,46.76556
1941,16.866,47.9166
1941,16.483,48.0166
1938,16.81667,48.3
1941,16.4,48.3
1940,16.84167,47.95
1947,37.83333,56.31667
1947,37.9,56.1
1924,40.985,56.9941
1902,36.22083,55.73695
1947,37.35,55.93333
1945,37.35,55.93333
1946,37.35,55.93333
1903,37.55917,54.85778
1947,37.55917,54.85778
1949,37.55917,54.85778
1915,37.82889,55.23583
1947,37.83833,55.22167
1905,37.95583,55.12639
1902,37.64833,54.82306
1910,39.529,53.9238
1910,39.529,53.9238
1910,39.529,53.9238
1922,37.56667,55.81667
1910,39.529,53.9238
1922,37.56667,55.81667
1915,36.009,53.0094
1915,36.009,53.0094
1916,39.383,56.3
1908,39.866,57.6166
1909,39.866,57.6166
1914,37.835,52.7469
1909,39.529,53.9238
1922,37.56667,55.81667
1910,36.378,53.1438
1922,37.5,55.75
1922,37.5,55.75
1922,37.56667,55.81667
1887,19.033,47.5
1912,21.53181504,53.83234787
1938,22.29976062,54.09614608
1912,22.29976062,54.09614608
1939,20.10531634,49.33426071
1910,22.04765839,50.05255738
1887,28,44
1887,28.8,45.1666
1924,29.616,55.3
1917,26.29921043,55.96620019
1911,24.728,59.4338
1911,26.736,58.3661
1918,21.483,42
1918,21.483,42
1939,-3.75,41.3
1939,-3.75,41.3
1905,-4.56667,41.58333
1896,-1.93651686,40.28825267
1917,4.208494763,43.68229708
