year,longitude,latitude
1904,14.62414,53.38351
1914,16.46532,54.45378
1919,14.77353,53.56366
1919,14.47269,53.47282
1919,16.46532,54.45378
1903,16.33698,50.40935
1902,16.4,50.4
1902,16.4,50.4
1911,15.07147,51.13644
1912,15.07147,51.13644
1902,16.2,51.2
1903,16.21714,51.22005
1903,16.21714,51.22005
1912,15.51332,52.30423
1912,15.55,52.3333
1937,16.3931,52.29713
1937,16.3931,52.29713
1912,15.4166,52.7333
1937,16.10211,52.39011
1937,16.10211,52.39011
1915,15.83928,54.01036
1919,15.83928,54.01036
1908,16.42505,53.2857
1912,16.42505,53.2857
1937,16.55548,52.74465
1937,16.55548,52.74465
1937,16.24903,52.38865
1937,16.24903,52.38865
1912,17.6,53.15
1913,17.60765,52.99594
1911,17.61853,53.17554
1911,18.815,50.48646
1911,18.815,50.48646
1912,18.815,50.48646
1918,16.9194,54.26764
1919,16.9194,54.26764
1912,16.47488,50.31775
1903,17.07178,51.11811
1902,17.0833,51.1333
1903,17.21886,51.20535
1903,17.49519,51.01989
1937,16.83281,52.29112
1937,16.83281,52.29112
1937,16.83281,52.29112
1905,19.95234,50.05256
1905,20.09873,49.69401
1932,20.78847,50.50677
1912,22.29976,54.09615
1938,22.29976,54.09615
1925,23.88732,52.71969
1912,17.31472,53.09192
1917,23.8666,52.7
1918,23.8666,52.7
1916,23.8666,52.7
1917,23.8666,52.7
1916,23.8666,52.7
1917,23.8666,52.7
1902,17.9166,49.95
1928,13.76528,50.73639
1903,17.85663,49.93216
1940,-4.511801,54.13561
1940,-4.52641,54.14412
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1934,10.41,59.25
1943,10.41,59.25
1939,10.02,59.73
1948,10.37,61.16
1939,10.418,61.265
1940,10.418,61.265
1941,10.418,61.265
1946,10.67,60.96
1949,10.79,59.66
1948,11.05,60.79
1948,11.05,60.79
1939,10.418,61.265
1941,10.418,61.265
1907,9.989998,60.01399
1907,9.989998,60.01399
1907,9.989998,60.01399
1941,10.418,61.265
1927,15.10565,57.32287
1926,15.12582,57.30231
1929,15.27519,58.56455
1932,16.30902,57.98944
1932,16.55516,58.16851
1932,16.80926,58.10443
1907,17.10215,59.64006
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.2354,57.38108
1934,18.39012,57.48031
1934,18.51571,57.44862
1934,18.59313,57.55908
1934,18.59313,57.55908
1926,18.18043,59.23882
1926,18.18043,59.23882
1926,18.18043,59.23882
1908,18.28406,59.5072
1908,18.28406,59.5072
1926,13.26977,55.71841
1940,12.57204,57.13062
1935,14.7627,56.04169
1941,14.91343,56.97803
1918,25.3166,54.6833
1917,26.2666,55.9333
1924,24.1,56.95
1918,25.25,57.3
1916,25.2333,56.4166
1918,25.25,57.3
1917,26.2666,55.9333
1917,24.35,56.7
1925,-6.364282,52.94986
1922,-6.354035,53.2193
1922,-6.352993,53.21904
1925,-6.364282,52.94986
1925,-6.364282,52.94986
1925,-6.363251,52.94955
1925,-6.363251,52.94955
1905,-6.377699,52.59058
1905,-6.377699,52.59058
1922,-6.208148,53.12733
1922,-6.207092,53.12706
1921,-6.215589,52.94772
1921,-6.215589,52.94772
1924,-6.215589,52.94772
