year,longitude,latitude
1935,37.29667,55.95306
1936,37.29667,55.95306
1941,37.33583,55.64528
1946,37.35,55.93333
1949,37.35,55.93333
1915,34.61666,52.58333
1947,37.6,56.53333
1901,37.76667,55.8
1947,37.83333,56.31667
1947,38.13334,56.3
1924,41.01639,57.04964
1924,55.1,51.76667
1909,55.1,51.78333
1909,55.1,56.4
1908,55.10361,51.76833
1947,37.55917,54.85778
1901,38.53861,54.54306
1924,39.25,57
1909,39.71667,54.61666
1908,39.73861,54.62472
1909,39.73861,54.62472
1908,39.73861,54.62472
1908,39.73861,54.62472
1909,38.72417,56.39667
1909,38.72417,56.39667
1924,40.98195,56.99667
1922,37.56667,55.81667
1909,38.72417,56.39667
1909,38.72417,56.39667
1909,38.72417,56.39667
1915,34.61666667,52.58333333
1922,37.56667,55.81667
1947,37.6,56.53333
1901,37.76667,55.8
1947,37.83333,56.31667
1947,38.13334,56.3
1901,38.53861,54.54306
1909,38.72416667,56.39666667
1908,39.73861111,54.62472222
1909,39.73861111,54.62472222
1924,41.0163891,57.04963827
1908,55.10361111,51.76833333
1935,37.29667,55.95306
1936,37.29667,55.95306
1941,37.33583,55.64528
1946,37.35,55.93333
1949,37.35,55.93333
1947,37.55917,54.85778
1995,16.46532,54.45378
1997,18.53609,53.08892
1997,18.76888,54.35217
1993,19.4757,51.84592
1994,19.1291,53.18963
1994,20.63334,52.30477
1994,20.77956,52.39504
1994,20.92652,52.39522
1994,20.92652,52.39522
1998,22.76593,54.26999
2000,22.87139,54.19083
1999,22.9194,54.26764
2000,22.97972,54.1375
2000,23.005,54.05861
2000,23.01,54.08417
2000,23.01528,54.19611
2000,23.05111,54.22
1994,23.06388,54.08546
2000,23.06388,54.08546
2000,23.06388,54.08546
1999,23.06835,54.17528
1999,23.07285,54.2651
1999,23.07285,54.2651
2000,23.07917,53.99917
2000,23.11667,54.08333
2000,23.14111,54.29333
2000,23.14222,54.05333
1995,22.84027,52.47083
1991,22.9194,54.26764
1991,23.05943,53.99564
1988,23.06388,54.08546
1995,23.12585,52.28621
1999,16.6245,50.58557
2000,16.6245,50.58557
2000,22.88,54.28778
1995,20.48564,52.39413
1995,20.63334,52.30477
1995,20.77911,52.48494
2000,23.1775,54.25056
1999,23.22627,54.26236
2000,16.83281,52.29112
1999,18.18333,53.15
1998,18.37047,53.35513
1998,18.53609,53.08892
1999,18.8475,49.76746
1999,22.9111,54.08799
1999,22.91524,54.17781
2000,22.91524,54.17781
2000,22.94806,54.13805
1995,21.95325,52.30149
1997,20.77956,52.39504
1995,20.78307,51.67577
1995,21.07318,52.21541
1995,21.95325,52.30149
1997,22.58835,53.64322
1997,22.76593,54.26999
2000,31.3,51.5
1950,30.16667,55.18333
1994,24.49886,53.71585
1994,24.63511,53.98833
1999,14.99899,50.03295
1992,24.2925,54.03361
1992,24.34444,54.35833
1992,24.34444,54.35833
1985,24.4,54.06111
1992,24.51667,54
1992,24.56667,54.21667
1992,24.86667,55.58333
1994,22.49055,55.17076
2000,23.10389,54.29861
1994,23.53198,54.2546
1994,23.67371,54.07172
1994,23.69117,54.34105
1994,23.83861,54.24776
1994,24.28941,54.61037
1994,24.46083,54.34439
1994,24.46635,54.2546
1994,24.856,55.61046
1998,25.16417,55.99361
1998,25.16417,55.99361
1992,22.38333,55.06667
1997,23.31417,55.93195
1992,23.81389,54.23056
1992,23.81389,54.23056
1992,24.16667,54.6
1998,21.08236,56.49952
1999,24.19912,56.94955
1999,25,57
1998,22.63221,62.91645
1998,22.63221,62.91645
1979,29.42241,61.52185
1964,29.5,61.55
1964,29.5,61.55
1998,27.69904,64.44988
1998,28.49917,61.08308
1999,26,59
2000,12.26556,50.625
2000,12.27306,50.62083
2000,12.43333,53.45
2000,10.45,53.45
1998,10.72708,53.90794
2000,11.18611,52.89583
2000,11.18611,52.89583
2000,11.20833,52.875
2000,11.20833,52.875
2000,11.20833,52.875
2000,11.29167,52.875
2000,11.29167,52.875
2000,11.29167,52.875
2000,11.5,50.01667
2000,11.54167,52.925
2000,12.07,50.499
2000,12.07,50.499
2000,12.07,50.499
2000,12.17,50.416
2000,12.43333,53.45
2000,12.43333,53.45
2000,12.77389,54.37167
1996,13.06339,52.3895
2000,13.42,54.1375
1999,13.466,52.1666
1999,13.466,52.1666
2000,13.466,52.199
1999,13.47306,52.16528
1999,13.47306,52.16528
2000,13.47306,52.16528
2000,13.47306,52.16528
2000,13.64472,54.13694
2000,13.68333,54.05
1999,13.7,53.26667
1999,13.7,53.26667
1999,13.866,53.3166
1999,13.866,53.3166
1987,13.983,51.3666
2000,14.08333,52.96667
1996,14.1,52.95
2000,14.11528,52.97111
1994,14.433,52.4833
1996,14.433,52.4833
1996,14.433,52.4833
2000,14.44667,52.48972
2000,14.45611,52.49055
2000,14.45611,52.49055
2000,9.348611,54.065
2000,9.35,54.03333
2000,9.588611,53.89528
1950,37.61666,54.2
1997,37.68333,55.86666
1950,40.41667,56.13334
1950,40.93333,57.93333
1950,40.98333,57
1950,43.93333,56.31667
1950,48.88334,58.53333
1998,28.21587,59.44968
1998,29.49921,61.3331
1998,33.06608,57.99965
1997,28.68262,56.14956
2000,37.35,54.95
1998,37.43333,55.75
1998,47.26662,56.61629
1950,37.61666,55.75
1973,32.45,54.4
1997,33.06608,57.99965
2000,39.08,63.61
1961,35.78333,55.51667
