,GSWP3-W5E5-1901-1919,GSWP3-W5E5-1920-1939,GSWP3-W5E5-1940-1959,GSWP3-W5E5-1960-1979,GSWP3-W5E5-1980-1999,GSWP3-W5E5-2000-2019,20CRv3-1901-1919,20CRv3-1920-1939,20CRv3-1940-1959,20CRv3-1960-1979,20CRv3-1980-1999,20CRv3-2000-2019,20CRv3-ERA5-1901-1919,20CRv3-ERA5-1920-1939,20CRv3-ERA5-1940-1959,20CRv3-ERA5-1960-1979,20CRv3-ERA5-1980-1999,20CRv3-ERA5-2000-2019,20CRv3-W5E5-1901-1919,20CRv3-W5E5-1920-1939,20CRv3-W5E5-1940-1959,20CRv3-W5E5-1960-1979,20CRv3-W5E5-1980-1999,20CRv3-W5E5-2000-2019
Bombus_hyperboreus,NA,NA,NA,>0.999,NA,0.820,NA,NA,NA,0.994,NA,>0.999,NA,NA,NA,0.237,NA,0.999,NA,NA,NA,0.980,NA,>0.999
Bombus_hypnorum,0.155,<0.001*,0.109,<0.001*,0.987,0.164,0.339,0.997,0.142,0.081,0.999,0.178,0.251,0.020,0.237,0.648,>0.999,0.097,0.002*,0.003*,0.934,0.128,>0.999,0.198
Bombus_jonellus,0.061,0.095,>0.999,<0.001*,>0.999,>0.999,0.991,0.838,>0.999,0.987,>0.999,>0.999,>0.999,0.588,>0.999,<0.001*,>0.999,>0.999,0.123,0.277,>0.999,0.638,>0.999,>0.999
Bombus_lapidarius,0.506,>0.999,>0.999,>0.999,>0.999,0.693,0.002*,0.022,<0.001*,>0.999,0.681,0.561,0.836,0.462,0.256,>0.999,>0.999,0.008*,0.011,0.001*,0.905,0.926,0.861,0.911
Bombus_lapponicus,NA,NA,0.959,0.784,0.362,<0.001*,NA,NA,0.630,0.941,0.121,>0.999,NA,NA,0.017*,0.898,0.042,>0.999,NA,NA,0.924,0.823,0.001*,<0.001*
Bombus_lucorum,0.148,>0.999,0.966,0.989,>0.999,>0.999,0.029,<0.001*,0.505,0.999,0.017*,0.060,0.075,0.160,<0.001*,>0.999,<0.001*,0.781,0.206,<0.001*,0.980,0.999,<0.001*,>0.999
Bombus_mastrucatus,0.779,0.569,0.519,0.012*,0.987,<0.001*,0.523,0.001*,0.839,0.974,<0.001*,0.292,0.975,>0.999,0.036,0.664,<0.001*,0.997,0.936,0.517,>0.999,0.996,0.238,0.698
Bombus_mendax,NA,NA,0.580,0.231,0.001*,0.152,NA,NA,0.273,0.223,0.834,0.860,NA,NA,0.402,0.003*,0.693,0.148,NA,NA,0.408,0.462,<0.001*,0.775
Bombus_mesomelas,0.542,0.539,0.188,0.005*,<0.001*,<0.001*,0.492,0.088,0.147,0.951,0.005*,<0.001*,0.365,0.983,0.910,>0.999,<0.001*,<0.001*,0.110,0.963,0.971,0.805,<0.001*,<0.001*
Bombus_monticola,NA,0.896,0.272,<0.001*,0.062,<0.001*,NA,<0.001*,0.969,<0.001*,<0.001*,<0.001*,NA,0.103,<0.001*,<0.001*,<0.001*,<0.001*,NA,0.477,0.415,<0.001*,<0.001*,<0.001*
Bombus_mucidus,NA,0.993,0.171,0.081,<0.001*,<0.001*,NA,0.462,0.983,0.822,0.990,0.011*,NA,0.434,<0.001*,<0.001*,0.018*,<0.001*,NA,0.988,<0.001*,<0.001*,0.465,0.001*
Bombus_muscorum,0.911,0.001*,0.600,<0.001*,0.999,<0.001*,0.481,0.383,0.886,0.167,>0.999,0.004*,0.666,0.908,<0.001*,0.004*,0.640,<0.001*,0.245,0.220,0.483,<0.001*,>0.999,<0.001*
Bombus_norvegicus,NA,NA,<0.001*,<0.001*,<0.001*,<0.001*,NA,NA,0.811,0.944,0.983,<0.001*,NA,NA,0.001*,0.186,<0.001*,<0.001*,NA,NA,0.024,0.254,<0.001*,<0.001*
Bombus_pascuorum,0.962,0.849,0.597,0.068,>0.999,>0.999,0.524,0.704,<0.001*,0.967,0.943,0.814,0.169,<0.001*,0.793,0.995,<0.001*,0.398,0.701,0.083,0.999,0.990,>0.999,0.565
Bombus_pomorum,0.109,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.663,<0.001*,0.103,<0.001*,0.991,0.757,0.132,0.012*,0.005*,<0.001*,<0.001*,0.249,0.190,<0.001*,<0.001*,<0.001*,<0.001*,0.001*
Bombus_pratorum,0.057,<0.001*,0.985,0.083,<0.001*,>0.999,0.994,>0.999,0.007*,<0.001*,<0.001*,0.638,0.016,0.048,0.365,0.608,<0.001*,>0.999,0.383,0.001*,0.895,0.034,<0.001*,0.878
Bombus_pyrenaeus,NA,0.009*,0.932,0.007*,0.839,0.202,NA,0.035,<0.001*,0.167,>0.999,0.011*,NA,0.010*,0.824,0.884,0.937,>0.999,NA,0.445,>0.999,0.358,0.757,0.499
Bombus_pyrrhopygus,NA,NA,NA,0.946,NA,0.040,NA,NA,NA,0.876,NA,0.997,NA,NA,NA,0.991,NA,>0.999,NA,NA,NA,0.997,NA,0.623
Bombus_quadricolor,0.273,0.941,0.997,0.002*,0.769,0.851,0.980,0.993,0.997,0.028,0.387,0.439,0.999,0.220,0.833,0.009*,<0.001*,0.920,0.942,0.557,0.995,0.620,0.002*,0.244
Bombus_ruderarius,0.093,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.005*,<0.001*,0.182,0.985,0.684,<0.001*,0.005,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.119,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*
Bombus_ruderatus,0.246,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.010,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.343,0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*
Bombus_rupestris,0.766,0.717,<0.001*,<0.001*,<0.001*,<0.001*,0.662,0.074,0.634,<0.001*,<0.001*,<0.001*,0.120,0.001*,0.005*,<0.001*,<0.001*,<0.001*,0.257,0.558,<0.001*,0.103,<0.001*,<0.001*
Bombus_semenoviellus,NA,NA,NA,NA,<0.001*,<0.001*,NA,NA,NA,NA,<0.001*,<0.001*,NA,NA,NA,NA,<0.001*,<0.001*,NA,NA,NA,NA,<0.001*,<0.001*
Bombus_sichelii,NA,0.258,0.985,0.992,<0.001*,<0.001*,NA,0.661,0.210,0.283,<0.001*,<0.001*,NA,0.990,0.997,>0.999,0.063,<0.001*,NA,0.224,>0.999,>0.999,<0.001*,<0.001*
Bombus_soroeensis,0.347,0.479,<0.001*,<0.001*,0.974,<0.001*,0.795,0.574,0.876,<0.001*,>0.999,0.001*,0.422,0.270,0.077,<0.001*,0.631,<0.001*,0.827,0.380,0.461,<0.001*,0.971,0.006*
Bombus_sporadicus,NA,NA,0.993,0.742,>0.999,0.241,NA,NA,0.779,0.831,0.024,>0.999,NA,NA,0.997,>0.999,>0.999,>0.999,NA,NA,0.687,0.997,0.854,0.711
Bombus_subterraneus,0.001*,0.923,<0.001*,0.218,0.695,<0.001*,0.754,0.814,0.657,0.260,0.999,<0.001*,0.938,0.983,0.787,<0.001*,>0.999,<0.001*,0.294,0.550,0.892,<0.001*,0.999,<0.001*
Bombus_sylvarum,0.020,0.928,0.026,<0.001*,<0.001*,<0.001*,0.232,0.128,>0.999,0.009*,>0.999,0.971,0.068,0.133,<0.001*,0.014*,0.830,<0.001*,0.978,0.001*,<0.001*,0.374,0.812,<0.001*
Bombus_sylvestris,0.731,0.046,0.949,>0.999,<0.001*,<0.001*,<0.001*,0.084,0.597,<0.001*,<0.001*,0.124,0.283,0.843,0.874,>0.999,<0.001*,<0.001*,0.668,0.997,<0.001*,>0.999,<0.001*,<0.001*
Bombus_terrestris,0.512,0.998,0.006*,0.999,0.760,<0.001*,0.051,>0.999,0.492,0.998,>0.999,<0.001*,0.973,0.981,0.256,>0.999,>0.999,<0.001*,0.516,0.983,0.994,>0.999,>0.999,<0.001*
Bombus_vestalis,0.925,0.458,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.998,<0.001*,<0.001*,<0.001*,<0.001*,0.386,0.721,0.471,0.081,<0.001*,<0.001*,0.004*,0.008*,0.022,<0.001*,<0.001*,<0.001*
Bombus_veteranus,0.267,<0.001*,<0.001*,0.445,0.173,<0.001*,0.017,0.046,<0.001*,0.342,0.005*,<0.001*,0.008,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.940,0.029,0.003*,<0.001*,<0.001*,<0.001*
