,GSWP3-W5E5-1901-1919,GSWP3-W5E5-1920-1939,GSWP3-W5E5-1940-1959,GSWP3-W5E5-1960-1979,GSWP3-W5E5-1980-1999,GSWP3-W5E5-2000-2019,20CRv3-1901-1919,20CRv3-1920-1939,20CRv3-1940-1959,20CRv3-1960-1979,20CRv3-1980-1999,20CRv3-2000-2019,20CRv3-ERA5-1901-1919,20CRv3-ERA5-1920-1939,20CRv3-ERA5-1940-1959,20CRv3-ERA5-1960-1979,20CRv3-ERA5-1980-1999,20CRv3-ERA5-2000-2019,20CRv3-W5E5-1901-1919,20CRv3-W5E5-1920-1939,20CRv3-W5E5-1940-1959,20CRv3-W5E5-1960-1979,20CRv3-W5E5-1980-1999,20CRv3-W5E5-2000-2019
Bombus_alpinus,NA,NA,0.832,0.999,NA,>0.999,NA,NA,0.944,0.986,NA,>0.999,NA,NA,0.956,0.028,NA,>0.999,NA,NA,>0.999,0.380,NA,0.998
Bombus_argillaceus,NA,0.003*,<0.001*,<0.001*,0.122,<0.001*,NA,0.007*,0.298,0.584,0.378,0.921,NA,0.358,<0.001*,0.002*,0.226,<0.001*,NA,0.348,0.033,0.001*,0.508,<0.001*
Bombus_balteatus,NA,NA,0.011*,0.737,NA,<0.001*,NA,NA,0.004*,0.015,NA,>0.999,NA,NA,0.972,0.995,NA,0.999,NA,NA,0.013*,0.993,NA,0.067
Bombus_barbutellus,0.258,0.026,0.884,0.001*,0.021,0.705,0.443,0.658,0.682,<0.001*,<0.001*,0.029,0.221,0.550,0.161,0.009*,<0.001*,0.584,0.126,0.898,0.066,0.367,<0.001*,0.036
Bombus_bohemicus,0.442,0.999,0.996,>0.999,0.578,<0.001*,0.726,0.046,0.997,>0.999,0.968,0.062,0.955,<0.001*,0.014*,0.492,0.852,<0.001*,<0.001*,0.001*,0.997,>0.999,0.049,<0.001*
Bombus_campestris,0.868,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.981,0.338,0.107,0.019,0.109,<0.001*,0.647,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.830,0.740,0.004*,<0.001*,<0.001*,<0.001*
Bombus_cingulatus,NA,NA,NA,0.999,NA,0.999,NA,NA,NA,0.785,NA,>0.999,NA,NA,NA,0.183,NA,0.999,NA,NA,NA,0.702,NA,0.465
Bombus_confusus,0.091,<0.001*,<0.001*,<0.001*,<0.001*,<0.001*,0.032,<0.001*,<0.001*,0.605,0.015*,<0.001*,0.542,0.052,0.030,<0.001*,<0.001*,<0.001*,0.211,0.048,0.001*,<0.001*,<0.001*,<0.001*
Bombus_consobrinus,NA,NA,0.999,0.973,NA,0.020*,NA,NA,0.999,0.995,NA,>0.999,NA,NA,>0.999,0.962,NA,>0.999,NA,NA,0.965,0.562,NA,0.523
Bombus_cryptarum,0.934,0.800,>0.999,>0.999,0.392,0.002*,0.906,0.419,>0.999,0.249,0.877,>0.999,0.601,>0.999,0.779,0.941,0.832,0.004*,0.183,0.696,0.825,0.983,0.999,<0.001*
Bombus_distinguendus,0.782,0.286,>0.999,0.930,0.795,<0.001*,0.636,0.280,0.762,<0.001*,>0.999,0.464,0.999,0.954,0.304,<0.001*,0.987,0.018*,0.707,0.951,0.975,0.748,>0.999,<0.001*
Bombus_flavidus,NA,NA,0.684,0.462,0.749,0.698,NA,NA,0.078,0.018,0.861,0.565,NA,NA,0.880,0.920,0.745,0.847,NA,NA,0.449,0.961,0.068,0.499
Bombus_gerstaeckeri,NA,NA,NA,NA,0.969,<0.001*,NA,NA,NA,NA,0.943,0.999,NA,NA,NA,NA,0.878,0.979,NA,NA,NA,NA,>0.999,<0.001*
Bombus_hortorum,0.936,0.988,0.930,>0.999,0.785,0.918,0.288,0.029,<0.001*,>0.999,0.001*,0.001*,0.001*,<0.001*,0.056,>0.999,0.148,0.066,0.108,0.004*,0.184,0.984,0.002*,0.030
Bombus_humilis,0.540,<0.001*,0.005*,<0.001*,0.258,<0.001*,0.307,0.099,0.414,0.045,0.328,<0.001*,0.539,0.034,<0.001*,0.001*,0.005*,<0.001*,0.224,0.209,0.132,<0.001*,0.702,<0.001*
