,GSWP3-W5E5,20CRv3,20CRv3-ERA5,20CRv3-W5E5
Bombus_alpinus,82.9,76.37,82.84,85.31
Bombus_argillaceus,78.07,52.63,77.08,78.29
Bombus_balteatus,88.77,84.69,85.72,91.4
Bombus_barbutellus,62.89,50.08,67.26,67.69
Bombus_bohemicus,88.41,81.24,89.11,88.23
Bombus_campestris,77.13,56.62,73.79,72.01
Bombus_cingulatus,85.19,83.87,86.14,86.68
Bombus_confusus,36.87,31.49,36.93,38.22
Bombus_consobrinus,86.22,87.12,88.51,90.72
Bombus_cryptarum,85.44,73.06,83.46,84.23
Bombus_distinguendus,67.34,63.78,73.86,66.69
Bombus_flavidus,74.03,67.48,74.08,74.28
Bombus_gerstaeckeri,72.17,77.85,74.44,81.49
Bombus_hortorum,66.46,51.04,62.23,57.47
Bombus_humilis,61.33,51.77,52.39,50.15
Bombus_hyperboreus,92.15,90.04,92.4,89.04
Bombus_hypnorum,79.09,63.08,79.65,80.76
Bombus_jonellus,91.14,80.54,89.86,89.85
Bombus_lapidarius,66.13,53.81,63.11,62.89
Bombus_lapponicus,95.03,93.4,95.65,95.44
Bombus_lucorum,71.11,55.6,65.97,65.81
Bombus_mastrucatus,79.7,71.61,80.57,86.27
Bombus_mendax,80.63,89.59,95.72,91.21
Bombus_mesomelas,64.32,71.09,69.93,78.45
Bombus_monticola,89.74,80,86.01,86.14
Bombus_mucidus,82.85,74.73,88.96,88.51
Bombus_muscorum,68.49,40.66,65.88,62.32
Bombus_norvegicus,85.61,68.32,86.64,87.5
Bombus_pascuorum,53.41,39.77,51.11,48.53
Bombus_pomorum,52.39,32.84,61.88,58.73
Bombus_pratorum,66.96,46.65,59.74,60.14
Bombus_pyrenaeus,84.67,73.26,87.28,86.96
Bombus_pyrrhopygus,94.23,93.3,92.25,93.93
Bombus_quadricolor,69.43,70.95,72.71,71.11
Bombus_ruderarius,70.87,48.24,60.8,61.55
Bombus_ruderatus,32.97,28.55,39.17,41.03
Bombus_rupestris,84.08,68.33,76.8,74.92
Bombus_semenoviellus,89.03,80.82,83.89,84.67
Bombus_sichelii,90.71,81.62,88.52,90.14
Bombus_soroeensis,81.54,72.23,79.58,75.21
Bombus_sporadicus,88.76,75.7,83.65,83.62
Bombus_subterraneus,77.58,72.69,73.41,73.58
Bombus_sylvarum,52.62,43.61,48.91,46.81
Bombus_sylvestris,86.71,61.77,82.23,82.59
Bombus_terrestris,53,36.5,37.66,45.84
Bombus_vestalis,60.02,31.67,52.92,50.9
Bombus_veteranus,73.69,45.55,76.14,72.59
