,GSWP3-W5E5-1901-1919,GSWP3-W5E5-1920-1939,GSWP3-W5E5-1940-1959,GSWP3-W5E5-1960-1979,GSWP3-W5E5-1980-1999,GSWP3-W5E5-2000-2019,20CRv3-1901-1919,20CRv3-1920-1939,20CRv3-1940-1959,20CRv3-1960-1979,20CRv3-1980-1999,20CRv3-2000-2019,20CRv3-ERA5-1901-1919,20CRv3-ERA5-1920-1939,20CRv3-ERA5-1940-1959,20CRv3-ERA5-1960-1979,20CRv3-ERA5-1980-1999,20CRv3-ERA5-2000-2019,20CRv3-W5E5-1901-1919,20CRv3-W5E5-1920-1939,20CRv3-W5E5-1940-1959,20CRv3-W5E5-1960-1979,20CRv3-W5E5-1980-1999,20CRv3-W5E5-2000-2019
Bombus_gerstaeckeri,NA,NA,NA,NA,<0.001*,>0.999,NA,NA,NA,NA,0.395,<0.001*,NA,NA,NA,NA,0.791,<0.001*,NA,NA,NA,NA,0.106,>0.999
Bombus_hortorum,0.760,0.203,0.238,0.028,0.003*,0.221,0.824,0.989,0.995,<0.001*,>0.999,0.904,0.822,>0.999,0.971,0.344,0.792,0.124,0.731,0.499,>0.999,0.086,0.948,0.682
Bombus_humilis,0.859,>0.999,0.719,>0.999,>0.999,>0.999,0.860,0.850,0.302,0.316,0.538,>0.999,0.758,0.998,>0.999,0.985,>0.999,>0.999,0.997,0.317,>0.999,0.999,>0.999,>0.999
Bombus_hyperboreus,NA,NA,NA,<0.001*,NA,0.617,NA,NA,NA,0.462,NA,<0.001*,NA,NA,NA,0.002*,NA,<0.001*,NA,NA,NA,<0.001*,NA,0.019
Bombus_hypnorum,0.505,>0.999,0.813,0.997,0.006*,0.488,0.313,0.003*,0.695,0.995,0.004*,0.835,0.412,>0.999,0.226,0.086,<0.001*,0.899,0.993,0.983,0.597,0.720,<0.001*,0.895
Bombus_jonellus,0.184,0.970,<0.001*,0.707,<0.001*,<0.001*,0.080,0.360,0.003*,0.102,<0.001*,<0.001*,0.065,0.001*,<0.001*,0.885,<0.001*,<0.001*,0.047,0.074,<0.001*,0.002*,<0.001*,<0.001*
Bombus_lapidarius,0.993,<0.001*,<0.001*,<0.001*,<0.001*,0.355,0.990,>0.999,>0.999,<0.001*,0.364,0.451,0.003*,0.014,0.705,0.012,<0.001*,0.952,0.908,0.046,0.812,0.045,0.227,0.378
Bombus_lapponicus,NA,NA,0.050,0.465,0.285,>0.999,NA,NA,<0.001*,0.077,0.993,<0.001*,NA,NA,<0.001*,0.001*,0.999,<0.001*,NA,NA,0.195,0.002*,0.147,>0.999
Bombus_lucorum,0.998,<0.001*,0.351,0.004*,0.744,<0.001*,0.984,0.993,0.073,0.017,>0.999,0.208,0.995,>0.999,0.383,0.001*,>0.999,0.262,0.777,0.877,0.085,<0.001*,>0.999,0.003*
Bombus_mastrucatus,0.542,0.988,0.988,0.580,0.961,>0.999,0.967,0.384,0.049,0.077,>0.999,0.086,>0.999,0.245,0.562,0.899,>0.999,0.005*,0.791,0.934,<0.001*,0.069,0.992,0.584
Bombus_mendax,NA,NA,0.282,0.805,>0.999,0.986,NA,NA,0.636,0.443,0.097,0.274,NA,NA,0.346,0.096,>0.999,>0.999,NA,NA,0.185,0.501,0.999,0.227
Bombus_mesomelas,0.597,0.087,0.022,0.150,0.936,>0.999,0.054,0.077,0.998,0.749,>0.999,>0.999,0.953,0.061,0.168,<0.001*,0.156,0.156,0.553,0.031,0.033,0.460,0.806,>0.999
Bombus_monticola,NA,0.831,>0.999,>0.999,<0.001*,0.906,NA,>0.999,>0.999,>0.999,0.929,>0.999,NA,0.581,>0.999,>0.999,<0.001*,0.950,NA,0.939,0.773,>0.999,0.999,>0.999
Bombus_mucidus,NA,<0.001*,<0.001*,0.465,>0.999,>0.999,NA,0.814,0.079,0.300,0.041,0.559,NA,0.630,>0.999,>0.999,0.569,>0.999,NA,<0.001*,>0.999,>0.999,0.001*,>0.999
Bombus_muscorum,0.892,0.991,0.196,>0.999,0.003*,>0.999,0.965,0.998,0.231,0.111,0.001*,>0.999,0.091,0.998,0.955,0.199,0.461,>0.999,0.984,0.066,0.941,>0.999,<0.001*,>0.999
Bombus_norvegicus,NA,NA,>0.999,>0.999,>0.999,>0.999,NA,NA,0.287,0.010*,0.001*,>0.999,NA,NA,0.995,0.887,>0.999,>0.999,NA,NA,0.999,0.129,>0.999,>0.999
Bombus_pascuorum,0.135,0.004*,0.479,0.996,<0.001*,0.136,0.856,0.384,0.781,<0.001*,0.919,<0.001*,0.249,0.981,0.561,0.664,>0.999,0.985,0.043,0.291,0.436,0.669,<0.001*,0.764
Bombus_pomorum,0.620,>0.999,>0.999,>0.999,>0.999,>0.999,0.090,0.997,0.212,>0.999,0.006*,0.001*,0.589,>0.999,0.997,>0.999,>0.999,>0.999,0.612,0.987,>0.999,>0.999,>0.999,>0.999
Bombus_pratorum,0.351,0.997,0.009,0.876,>0.999,<0.001*,0.001*,0.095,0.999,>0.999,0.995,0.966,0.840,0.960,0.336,0.720,>0.999,<0.001*,0.996,0.971,0.298,>0.999,>0.999,0.026
