,GSWP3-W5E5,20CRv3,20CRv3-ERA5,20CRv3-W5E5
Bombus_alpinus,13.14,18.11,18.01,16.85
Bombus_argillaceus,-34.35,-5.93,-9.72,-7.28
Bombus_balteatus,11.35,11.22,12.22,11.37
Bombus_barbutellus,3.34,-0.4,1.3,3.09
Bombus_bohemicus,4.41,2.85,-0.02,3.71
Bombus_campestris,0.92,-7.07,-6.02,-1.93
Bombus_cingulatus,12.1,11.44,13.27,11.7
Bombus_confusus,-9.45,-2.91,-5.23,-4.55
Bombus_consobrinus,8.56,10.93,11.5,11.94
Bombus_cryptarum,14.87,8.58,10.97,11.49
Bombus_distinguendus,-5.7,-2.34,-2.49,-4.37
Bombus_flavidus,10.12,16.66,15.33,15.08
Bombus_gerstaeckeri,-15.38,-7.27,0.06,2.17
Bombus_hortorum,11.52,3.09,8.36,8.99
Bombus_humilis,-7.67,-6.62,-9.58,-9.17
Bombus_hyperboreus,7.01,10.57,9.86,9.66
Bombus_hypnorum,9.69,6.54,9.29,9.38
Bombus_jonellus,22.31,14.6,18.64,20.09
Bombus_lapidarius,9.46,1.65,4.34,5.69
Bombus_lapponicus,11.48,12.55,13.2,12.21
Bombus_lucorum,16.68,8.83,12.33,13.35
Bombus_mastrucatus,1.96,8.57,17.74,17.34
Bombus_mendax,-29.87,-12.54,-9.7,-4.89
Bombus_mesomelas,-37.55,-5.03,-9.62,-9.23
Bombus_monticola,28.13,22.95,27.86,26.72
Bombus_mucidus,-26.86,-2.41,1.39,1.87
Bombus_muscorum,-3.74,-8.19,-10.2,-5.93
Bombus_norvegicus,-5.71,-0.19,-2.03,1.29
Bombus_pascuorum,7.26,3.51,4.97,6.71
Bombus_pomorum,-21.5,-4,-9.87,-8.91
Bombus_pratorum,11.24,5.35,9.64,9.26
Bombus_pyrenaeus,-5.28,-0.96,7.08,9.17
Bombus_pyrrhopygus,8.92,13.2,11.89,12.07
Bombus_quadricolor,9.14,5.61,6.14,11.73
Bombus_ruderarius,-3.44,-10.67,-8.8,-3.64
Bombus_ruderatus,-19.65,-17.54,-13.49,-12.99
Bombus_rupestris,-2.22,-8.9,-7.58,-3.06
Bombus_semenoviellus,-47.55,-50.64,-53.97,-49.99
Bombus_sichelii,-22.49,-7.31,-3.03,-2.07
Bombus_soroeensis,5.46,4.66,-0.2,5.12
Bombus_sporadicus,12.04,11.77,13.03,11.03
Bombus_subterraneus,-4.92,-4.21,-7.54,-4.43
Bombus_sylvarum,-12.07,-9.32,-13.78,-9.18
Bombus_sylvestris,4.65,0.39,-2.1,1.69
Bombus_terrestris,1.66,-4.62,-2.24,0.06
Bombus_vestalis,-8,-11.44,-8.75,-6.56
Bombus_veteranus,-13.93,-12.28,-20.24,-16.47
