,SIppc_GSWP3-W5E5,OptTres_GSWP3-W5E5,SIppc_20CRv3,OptTres_20CRv3,SIppc_20CRv3-ERA5,OptTres_20CRv3-ERA5,SIppc_20CRv3-W5E5,OptTres_20CRv3-W5E5
Bombus_alpinus,0.99 [0.97-1.00],0.57 [0.48-0.65],0.99 [0.98-1.00],0.56 [0.46-0.67],1.00 [0.99-1.00],0.52 [0.47-0.66],0.99 [0.98-1.00],0.55 [0.49-0.66]
Bombus_argillaceus,1.00 [0.98-1.00],0.52 [0.31-0.59],1.00 [0.98-1.00],0.48 [0.34-0.57],1.00 [0.97-1.00],0.50 [0.29-0.58],1.00 [0.98-1.00],0.44 [0.30-0.59]
Bombus_balteatus,0.99 [0.98-1.00],0.56 [0.45-0.71],0.99 [0.98-1.00],0.54 [0.45-0.65],0.99 [0.99-1.00],0.55 [0.47-0.66],0.99 [0.98-1.00],0.56 [0.50-0.65]
Bombus_barbutellus,0.90 [0.89-0.92],0.52 [0.50-0.57],0.91 [0.87-0.92],0.52 [0.50-0.57],0.91 [0.88-0.92],0.54 [0.51-0.57],0.91 [0.87-0.93],0.54 [0.51-0.58]
Bombus_bohemicus,0.85 [0.84-0.85],0.54 [0.49-0.55],0.84 [0.84-0.85],0.50 [0.49-0.54],0.85 [0.84-0.85],0.54 [0.52-0.56],0.84 [0.84-0.85],0.52 [0.49-0.55]
Bombus_campestris,0.88 [0.86-0.90],0.51 [0.45-0.54],0.88 [0.86-0.90],0.51 [0.45-0.58],0.88 [0.87-0.89],0.51 [0.45-0.55],0.88 [0.87-0.89],0.52 [0.47-0.57]
Bombus_cingulatus,0.96 [0.95-0.98],0.61 [0.55-0.71],0.97 [0.95-0.97],0.58 [0.47-0.70],0.96 [0.95-0.98],0.58 [0.50-0.70],0.96 [0.95-0.97],0.59 [0.54-0.69]
Bombus_confusus,0.97 [0.93-0.99],0.50 [0.38-0.57],0.96 [0.94-1.00],0.50 [0.42-0.56],0.97 [0.89-0.99],0.49 [0.44-0.59],0.97 [0.93-1.00],0.48 [0.42-0.56]
Bombus_consobrinus,1.00 [0.99-1.00],0.54 [0.46-0.64],1.00 [1.00-1.00],0.54 [0.41-0.64],1.00 [0.99-1.00],0.54 [0.47-0.65],1.00 [1.00-1.00],0.55 [0.47-0.64]
Bombus_cryptarum,0.84 [0.83-0.87],0.50 [0.45-0.54],0.85 [0.83-0.87],0.51 [0.45-0.53],0.85 [0.83-0.86],0.51 [0.47-0.54],0.85 [0.83-0.87],0.50 [0.47-0.54]
